Rating_1,Rating_2,Rating_3,Rating_4,Standard_deviation,Majority_label
2,1,2,2,0.5,2.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,2,2,0.577,-1.0
1,2,2,2,0.5,2.0
2,0,1,2,0.957,-1.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
2,2,2,2,0.0,2.0
2,2,2,2,0.0,2.0
1,1,1,1,0.0,1.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
2,2,2,2,0.0,2.0
0,0,0,0,0.0,0.0
2,2,2,2,0.0,2.0
1,1,2,2,0.577,-1.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
2,2,2,2,0.0,2.0
2,2,2,2,0.0,2.0
2,2,2,2,0.0,2.0
1,1,1,1,0.0,1.0
0,0,0,0,0.0,0.0
2,2,2,2,0.0,2.0
2,2,2,2,0.0,2.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,0,1,1,0.5,1.0
2,2,2,2,0.0,2.0
0,0,0,0,0.0,0.0
2,2,2,2,0.0,2.0
2,2,2,2,0.0,2.0
1,1,2,2,0.577,-1.0
2,2,2,2,0.0,2.0
1,0,1,1,0.5,1.0
1,1,1,1,0.0,1.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
2,2,2,2,0.0,2.0
0,0,0,0,0.0,0.0
2,1,2,2,0.5,2.0
2,2,2,2,0.0,2.0
0,0,0,0,0.0,0.0
2,2,2,2,0.0,2.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
2,0,1,1,0.816,-1.0
1,1,2,1,0.5,1.0
1,0,1,1,0.5,1.0
2,2,2,2,0.0,2.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
2,2,2,2,0.0,2.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
2,2,2,2,0.0,2.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
0,0,1,0,0.5,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,1,0.0,1.0
